date,actual_kwh,actual_cost_gbp,actual_avg_ppkwh,actual_peak_kwh,actual_starts,same_kwh_baseline_cost_gbp,same_kwh_saving_gbp,same_kwh_peak_kwh,same_kwh_expected_starts,uniform_same_kwh_baseline_cost_gbp,uniform_same_kwh_saving_gbp,uniform_same_kwh_peak_kwh,thermostat_baseline_kwh,thermostat_baseline_cost_gbp,thermostat_saving_gbp,thermostat_peak_kwh,thermostat_expected_starts,uniform_thermostat_baseline_cost_gbp,uniform_thermostat_saving_gbp,uniform_thermostat_peak_kwh
2025-12-29,1.9738999999999978,0.32706955621229755,16.569712559516585,0.0,1.0,0.34214135736924495,0.015071801156947444,0.0,14.034317355074219,0.3765171070937496,0.04944755088145207,0.24673749999999972,10.26731093179258,1.7796604178203577,1.4525908616080603,0.0,73,1.958467100496771,1.6313975442844737,1.2834138664740724
2025-12-30,2.061000000000004,0.3319958785009659,16.108485128625194,0.0,4.0,0.36227762774257527,0.03028174924160936,0.0,14.65359342864788,0.3931402584375007,0.06114437993653482,0.2576250000000005,10.26731093179258,1.80476324486425,1.4727673663632839,0.0,73,1.9585120199820971,1.6265161414811313,1.2834138664740724
2025-12-31,6.198716128533348,0.9797604398833433,15.805860755155443,0.0,5.0,1.0266652470267728,0.04690480714342939,0.0,44.07252107090234,1.1336580104631917,0.1538975705798485,0.7748395160666683,10.26731093179258,1.7005281570433193,0.7207677171599759,0.0,73,1.8777467853648846,0.8979863454815414,1.2834138664740724
2026-01-01,2.6016838714666473,0.2853843950446454,10.969218750000001,0.3252104839333309,0.0,0.23612378982453233,-0.049260605220113086,0.0,18.497825173383198,0.2853843950446454,0.0,0.3252104839333309,10.26731093179258,0.9318412567761476,0.6464568617315021,0.0,73,1.1262437958509912,0.8408594008063457,1.2834138664740724
2026-01-02,3.695300000000003,0.5613831510000016,15.191815305929183,0.0,19.0,0.5467776615870473,-0.014605489412954214,0.0,26.273373991694545,0.5909824003125004,0.029599249312498868,0.4619125000000003,10.26731093179258,1.519209877972741,0.9578267269727395,0.0,73,1.64203178611359,1.0806486351135884,1.2834138664740724
2026-01-03,8.530200000000002,1.3227068091734118,15.506164089627573,0.0,6.0,1.4545099967481911,0.1318031875747795,0.0,60.649239526953885,1.6059567628125007,0.28324995363908895,1.0662750000000003,10.26731093179258,1.750709993905687,0.4280031847322752,0.0,73,1.932997752316593,0.6102909431431814,1.2834138664740724
2026-01-04,5.3852999999999955,0.888034346663023,16.489969856145876,0.0,3.0,0.9693003843068378,0.08126603764381471,0.0,38.28917840431694,1.049110292999999,0.16107594633697586,0.6731624999999993,10.26731093179258,1.8480137470492541,0.9599794003862311,0.0,73,2.0001748426225125,1.1121404959594896,1.2834138664740724
2026-01-05,6.354,1.130080572339706,17.785341081833586,0.0,4.0,1.4284811458327185,0.29840057349301236,0.0,45.17658061408465,1.4942662087500003,0.3641856364102942,0.79425,10.26731093179258,2.3082562298501514,1.1781756575104454,0.0,73,2.4145570947603288,1.2844765224206225,1.2834138664740724
2026-01-06,3.941199999999997,0.7946865783632258,20.163568922237552,0.0,5.0,0.8458805345007319,0.05119395613750612,0.0,28.02170908344827,0.9053133459999994,0.11062676763677359,0.49264999999999964,10.26731093179258,2.2036228709200034,1.4089362925567774,0.0,73,2.3584526575874154,1.56376607922419,1.2834138664740724
2026-01-07,3.2319000000000093,0.5520670812464464,17.08181197581747,0.0,26.0,0.5918036193826977,0.0397365381362512,0.0,22.978626201866636,0.6476061020625019,0.0955390208160555,0.4039875000000011,10.26731093179258,1.8800803771039845,1.328013295857538,0.0,73,2.0573573474432645,1.505290266196818,1.2834138664740724
2026-01-08,3.7303999999999937,0.6743375721181378,18.07681675204104,0.0,19.0,0.9272034427017998,0.25286587058366194,0.0,26.522933006418175,0.9760638229999983,0.3017262508818604,0.4662999999999992,10.26731093179258,2.5519745987690117,1.8776370266508735,0.0,73,2.6864547394421936,2.012117167324056,1.2834138664740724
2026-01-09,5.758099999999992,1.0706526621054082,18.593853217301014,0.0,5.0,1.0206702710586641,-0.04998239104674397,0.0,40.939765318533276,1.1081067580624984,0.037454095957090205,0.7197624999999989,10.26731093179258,1.8199647508373127,0.7493120887319046,0.0,73,1.9758734010608259,0.9052207389554178,1.2834138664740724
2026-01-10,5.981300000000001,1.0003427712156863,16.724504225096318,0.0,23.0,1.0712898541496472,0.07094708293396096,0.0,42.526704694212235,1.18093104959375,0.18058827837806377,0.7476625000000001,10.26731093179258,1.8389423755085255,0.8385996042928393,0.0,73,2.0271489935611315,1.026806222345445,1.2834138664740724
2026-01-11,5.044300000000003,0.8304538080512005,16.463212101802032,0.0,29.0,0.8613251376389804,0.030871329587779998,0.0,35.864687691474245,0.9326059474375006,0.10215213938630015,0.6305375000000004,10.26731093179258,1.7531655534976993,0.9227117454464989,0.0,73,1.8982525304164741,1.0677987223652736,1.2834138664740724
2026-01-12,5.05,0.7470488232475659,14.793046004902298,0.0,27.0,0.835487786255975,0.08843896300840896,0.0,35.90521436907892,0.9247891406249998,0.17774031737743384,0.63125,10.26731093179258,1.6986560160802282,0.9516071928326622,0.0,73,1.8802173570578473,1.1331685338102813,1.2834138664740724
2026-01-13,8.015000000000011,1.483506178341079,18.50912262434282,0.0,28.0,1.4821303881644954,-0.0013757901765836778,0.0,56.986196666963956,1.6112128703125026,0.12770669197142354,1.0018750000000014,10.26731093179258,1.8986267669049632,0.41512058856388423,0.0,73,2.0639829715289366,0.5804767931878575,1.2834138664740724
2026-01-14,5.999999999999998,1.0764398447701102,17.940664079501843,0.0,42.0,1.1538230513281953,0.07738320655808494,0.0,42.6596606365294,1.2695943749999994,0.19315453022988904,0.7499999999999998,10.26731093179258,1.9744433380427084,0.8980034932725982,0.0,73,2.172553367563312,1.0961135227932015,1.2834138664740724
2026-01-15,10.382000000000001,1.968596241449441,18.96162821661954,0.0,31.0,2.0725508882201216,0.10395464677068049,0.0,73.81543278807474,2.2408346581250007,0.27223841667555976,1.2977500000000002,10.26731093179258,2.049655595388063,0.08105935393862182,0.0,73,2.216080348844779,0.24748410739533824,1.2834138664740724
2026-01-16,7.563999999999997,1.3770742902679423,18.20563577826471,0.0,30.0,1.5766411861387564,0.19956689587081428,0.0,53.77961217578473,1.6768797062499992,0.2998054159820569,0.9454999999999997,10.26731093179258,2.1401196834950924,0.7630453932271501,0.0,73,2.27618262021176,0.899108329943818,1.2834138664740724
